d100,1)Evil_Items,2)Helpful_Items,3)Mixed_Items,4)Small_Items,5)Potions,6)Holy_Rings,7)Gnome_Items,8)Wild_Items,9)Good_Items,10)Powerful_Items,11)Legendary_Items
53,Fyla's Diary of Fears - An inconspicuous diary of a young girl named Fyla. At a young age Fyla's talents allowed her to see into the abyss and corrupted her mind. She wrote in detail about the monsters under her bed and her fears of what awaited her. When reading Fyla's Diary the readers truest fears manifest and attack them. The reader becomes frightened and must succeed in a WIS saving throw DC18 to break the effect. The fear will follow and attack the reader until the effect is broken. Should the effect last for 5 rounds the fear becomes material and won't stop even when the effect is broken. It stops once the reader reaches 0HP or it is killed.,Mage’s Cravat - A necktie that soothes the throat and allows the wearer to sing / speak for a long time without injuring themselves. Grants resistance against silencing effects.,A holy symbol of Helm that you can activate once per day to gain 1d4 to an initiative roll.,"A coin pouch that always sounds as if it is full of coins, as long as there is at least one coin inside.",You can speak with plants for 1d4 hours.,"As an action, transform up to 1 pint of liquid into Holy Water. (2/Day)","Recurve Longbow - 200 g Longbow properties, but uses STR.","Parallel Shifter - A metal tin big enough to fit a pistol inside. If an object is placed inside and shaken, the object is replaced with a parallel version of itself from another reality. Roll d6. 1: Only ash remains. 2-5: The change is cosmetic but significant. 6: The new version is better than the old.",Ring of jumping,Mace of disruption,Ring of earthelemental command
54,"Blade of the Psycho-Killer: Once per day, the wielder must make a CHA save or become overwhelmed with the desire to kill. Blade grants undead fortitude to wielder. 3 times per day wielder may teleport behind cover in front of desired fleeing prey, 3 times per day wielder may cause fleeing prey to suffer from an obligatory trip. If reduced to 0 hp, the wielder is granted 10 temporary hp, is affected by feign death spell, and regenerates at 1 hp per minute. While under the affect of the feign death spell, if the wielder is unobserved, the wielder is teleported to a random open location up to 500ft away.","Magnetic Charge - A fist-sized metal ball with a button on top. When the button is pressed, the ball will begin to glow and produce a magnetic field that lasts 6 seconds. The field repels any metal objects within 10ft of the ball. Takes 1 day to recharge.",A holy symbol of Waukeen that gives you 1d4 on Persuasion checks when haggling.,A snowglobe that causes snow to fall for a couple of seconds in a 5ft. radius when you shake it.,You gain double your speed for 1d6 rounds.,"As an action, change 1 cubic foot of non-magical liquid on touch to another non-magical liquid of the same volume. (2/Day)","Smuggler's Blade - 50 g Dagger properties. In sheath, looks like scroll case. To tell it’s a weapon, the observer must succeed on a Perception check at DC 15 + the wielder’s Deception bonus. Contains hidden compartment in handle, separate DC check.","Brain Jar - A jar of brine and wires that can sustain the brain of a freshly killed creature, allowing it to psychically project its thoughts. The brain must be fed blood or else it dies.",Ring of mind shielding,Mace of smiting,Manual of bodily health
55,"The Mace of Doubt (+2) - Requires attunement. It is a +2 weapon for anyone. If a character with divine spell slots attunes to this weapon, its cursed features will activate. It will do an extra 2d6 radiant damage on a critical hit. Additionally, after the first day, and then after each week of use, the character will lose access to one lowest-level divine spell slot that has not already been blocked. This item will remain attuned until the character uses no divine spells for a full day and a different character casts remove curse.",Masamune’s Instruments - A knife and fork set made from Mithril with small runes embed in the handles. When the fork is inserted into food (non-living material) it allows the knife to cut through it with little to no resistance. Made as a gift from a wife to her husband so that he wouldn’t waste time sawing through her cooking like a log.,"A holy symbol of Myrkul that allows you to animate the corpse of a tiny beast once a day. The tiny skeleton or zombie remains under your control until it is destroyed or you animate a new undead (AC 10, 1hp and unable to deal damage).","A pair of glasses that allow the wearer to read a random language, the language changes each day.",The potion gives you resistance to fire damage for 1d4 hours.,Cast Spare the Dying at Will,"Spidersilk Net - 50 g Net properties, requires DC 12 STR check to free. Made from fresh Giant Spider webs.","Stinkincense - A pot of wax with a wick. When burned, sewage slowly drips over from the top of the jar. If left for an hour it will burn out, but produce enough sewage to fill a large room.",Ring of warmth,Mace of terror,Manual of gainful exercise
56,"The Crown of the Skeleton: A silver circlet, engraved with skulls and bones. While wearing this circlet, you can summon 1d4 skeletons from the earth for a single day. The circlet recharges after 24 hours.","Medallion of the Labyrinth - A medallion that, when focused on, always displays a faint blue line, curving around trees or arching over rocks. It will always show the fastest way home, but not the easiest, a flawed enchantment made by a well-meaning wife for her husband, so that he could always find his way back to her.",A holy symbol of Yeenoghu that once per day you can activate as a bonus action to allow a gnoll within 30 feet to make an attack as a reaction to a random enemy within attack range.,A quill that never runs out of ink.,Drinking this potion has allowed your consciousness to be noticed by a random deity! You have one chance to ask any yes or no question.,Cast Minor Illusion at Will,"Stiletto - 20 g Dagger properties. +1 on melee against prone, grappled, stunned, or restrained. +3 on melee against paralyzed or unconscious.","Cosmic Ranker - A grey wand that, when waved between two objects, pulls to the object that it deems best by the standards requested. In case of a tie it flies from the wearer's hand.",Ring of water walking,Mantle of spell resistance,Manual of golems
57,"The King’s lyre - This beautiful gilded lyre causes all those who hear it to fall asleep, including the player, and summons a strange hoofed extraplanar entity who performs bizarre and unpleasant actions upon those sleeping. Victims might walk up with their mouth filled with frog spawn, thousands of papercuts all over their body, or tied to a chair upside down with yellow ribbons.","Mimic Coin - When swallowed, this coin will Polymorph the user into a random non-magical item, object, or piece of furniture for 1d4 hours. The item the user turns into will be roughly the same size category as the user themselves. The item cannot be damaged or transported by any means, magical or otherwise. If touched by a living being’s hand or other forelimb, the user transforms back into their original form.",A holy symbol of Amaunator that makes you immune to the exhaustion effects from hot weather.,A gold ring that turns silver whenever placed on the finger of a creature that is cursed.,"You begin to secret a substance that is very similar to gasoline. Be careful, you are extremely flammable!",Cast Guidance at Will,"Stone Greatclub - 30 g Greatclub properties. Requires STR 15 or higher to wield. On crit, knocks enemy prone or 5 ft back.","Rail-Lens - Any missile fired through this lens (breaking it) accelerates to impossible speeds, causing d20 damage and tearing through structures.",Quiver of Ehlonna,Necklace of prayer beads,Manual of quickness of action
58,"Cursed Scroll: You can take your action to note a spell you have prepared with a spell level of 1 or higher and force an enemy to guess the spell (you must be able to understand each other). If they guess wrong, the scroll strikes them for 2d6 force damage and you can cast the spell as a bonus action.",Misspell Book - Requires attunement. A book of arcane knowledge that allows the user to use a Reaction to change one letter in the attacker’s magic spell and cause a different effect.,"A holy symbol of Moradin that makes you immune to the poisoning effects of alcohol, although it does not protect from passing out.",A smithy hammer that makes no noise when used to forge metal.,You have horrific hallucinations of demons coming after you for 1d4 hours. You are under the effect of Fear!,Cast Chill Touch at Will,"Sword Cane - 60 g A short sword disguised as a cane. To tell it’s a weapon, the observer must succeed on a Perception check at DC 15 + the wielder’s Deception bonus. 1d6 slashing, finesse.","Anti-matter Key - When placed in a keyhole, utterly annihilates the door. 1-in-6 chance of annihilating itself too.",Stone of good luck,Periapt of proof against poison,Mirror of life trapping
59,"Shield of Blood Blackened Glass - A tarnished mirrored shield made from the blood of a corrupted celestial. Should the shield be successfully used to deflect an attack, the damage of the attack is reflected onto an ally of the attacker (wielder's choice). The target takes the damage that would have been sustained plus 1d10 as force damage.",Mirrors of Clever Seeing - A pair of mirrors. One can see through the other as if there were an extradimensional tunnel between the two. Nothing can pass through.,A holy symbol of Eilistraee that allows you to sing beautifully (+2 to performance checks when singing once per day).,A pot that stirs itself when commanded to.,Your hair color changes to a random color.,Cast Light at Will,Tonfa - 50 g Club. Player can choose defensive stance (+1 AC) or attack (1d4) bludgeoning.,"Nightmare Flower - Anyone sleeping in the same room as this flower suffers horrible nightmares. When they wake, they bring back the worst thing from their nightmare with them.",Wind fan,Ring of animal influence,Nine lives stealer
60,Static Reach: This ring is made of braided copper bands of several precious metals. While worn anyone that shakes hands with the wearer will then cast Shocking Grasp on the next person they touch. This effect does not expire until the spell is discharged. The victim is unaware that they've been affected by the ring.,Monocle of Farsight - A tin monocle that lets the wearer see a great distance. Made by an artificer that could no longer view the beautiful landscape around his home as he aged. Grants advantage to Perception.,A holy symbol of Grumbar that allows you to speak Terran.,A metal plate that heats up any regular sized pot or kettle that is placed on top of it.,All of your inner thoughts are audibly heard for 1d4 hours.,Cast Druid Craft at Will,"Wrecking Tool - 60 g Maul properties. Plus 1 vs non-magical wood, stone or brick. Reverse side is a hook that can be used to lift objects. Handle is a crowbar.","Sanctuary Idol - Burning a candle in front of the idol causes smoke to billow out and reinforce all doors, open passageways, and windows into the room. Nothing can enter through these as long as the candle burns. Has no effect outdoors.",Winged boots,Ring of evasion,Oathbow
61,"Gryst Scythe - A scythe that hits like a Maul. The attuned sacrifices -1 HP per hit and can choose Necrotic, Radiant, Bludgeoning, or Slashing Damage.","Orrery of Planes - A small brass claw, meant to be set on a desk and have a gemstone inserted into its top. It gives a small, hologram-like view of an elemental plane, changing which plane is displayed by changing the gemstone. It seems to have been a gift from a noble to his child, as such craftsmanship would be quite expensive.",A jar containing an aboleth mucus gland. If you breathe in the mucus you are able to breathe through your skin underwater for thirty minutes. The gland refills the jar with mucus in 24 hours.,A stone that laughs whenever someone tells a joke nobody laughed at.,The potion gives you resistance to poison damage for 1d4 hours.,Cast Dancing Lights at Will,"Wrist Dart Launcher - 80 g Martial weapon. Light. Ammunition: 1 dart, doing 1d4 damage (10/20). DEX modifier. Requires action to reload. If used in the first round, grants +3 to initiative for first round only.","Banker Pig - A clay pig with a coin slot. A penny causes an oinking sound. A silver shilling causes it to transform into a normal pig for an hour. A gold gilder causes it to transform into a vicious boar (7hp, d6 gore) for an hour. If it dies in pig form, it never transforms back.",Potion of supreme healing,Ring of feather falling,Ring of air elemental command
62,"Blade of The Void - This dark blade is of a blackness so deep that it appears as less of a physical object, and more of a blade-shaped hole in reality. Any victim cut by this blade will soon experience a corrupting darkness begin to spread through their veins, as the flesh around the would becomes black and necrotic. As the corruption spreads, those with weak willpower will fall into a deep coma, while those that remain conscious will feel their humanity drain away. Their skin pales as all of their senses dull, and slowly lose any sense of feeling or emotion. If the spreading corruption is not removed, the victim will eventually die and transform into a Voidtaken upon death.",Pan of Nostalgia - A frying pan and lid that materializes one fully cooked breakfast platter for one once per day when exposed to flame. Adds 1d10 temp HP on a long rest. Someone’s mother had it enchanted as a gift for their child who was leaving home so that they could always have a home cooked breakfast.,A whistle that can only be heard by your allies.,A candle that has a green flame when lit.,You can cast Fire Breath for 1d4 hours.,Cast Resistance at Will,"Jar of Hot Pepper Juice - 2 g Can be splashed on enemy. On successful hit, con save DC 15 or be blinded for 2d6 turns, also any concentration checks are made at disadvantage.","Evacuation Syrup - Removes any ill effects the drinker is suffering from, including anything short of death, but flushes the body clean in every sense. One dose.",Potion of invisibility,Ring of free action,Spellguard shield
63,"Emily's Mirror Blade - The daughter of an arch demon found it unfair, that the strongest creature often won a fight. So she cursed a +2 claymore, so that, on a hit, the attacker and its victim would switch their bodies. Suddenly the attacker will find itself in the body of the victim and vice versa.","Pendant of Sorrows - A music box pendant, that, when wound and played, emits a somber, soothing song, like one sung by a long-dead but much-loved parent to their child. While the song plays, other sound around the wearer is muffled, and the user cannot be frightened.",A cup or plate that changes color when they come in contact with poison.,A saddle that summons a magical ladder allowing a small humanoid to easily mount the creature it is on.,Your pupils disappear! You are blinded for 1d4 hours.,Cast Shocking Grasp at Will,Lantern Shield - 10 g Shield that has a lantern mounted to it. Can act as light source while holding shield.,"Alien Bone - Looks like a wishbone, but if broken sends out a psychic wave of pain to all in 10m (d20 WIL loss).",Potion of speed,Ring of protection,Horn ofValhalla (iron)
64,"Ancient tablet of Orian - an apparently stone of black grey colour that exudes a sense of wonder, magic and mystery. Anyone within 5 feet will try to touch it. At any new daily touch roll a d10. On a 10 the toucher will be cursed and immediately turned into an ooze untill the curse is removed. If the curse is removed and the salvaged ooze is below 90% the total volume, limbs may be missing or permanent injuries incurred (DM's ruling).","Peyote - When ingested, this hallucinogenic mushroom restores one spell slot, but causes the user to hallucinate a random effect from the d100 tables for 1d4 hours.",A brass pitcher and a silver fly. As long as the fly is within 15 feet of the pitcher it whispers anything the pitcher hears.,Fancy boots that magically change color to fit the color scheme of the rest of the outfit.,Your hair triples in length.,Cast Absorb Elements 1/Day,Silvered Weapons or Ammo - 100+ g Used to bypass some creatures immunities.,"Savage Vine Berries - If eaten, rapidly growing vines erupt from the mouth (d6 STR loss) and grow into a sprawling vine filling a large room and clinging to whatever surface it can. 2 berries.",Spell scroll (6thlevel),Ring of resistance,Armor of resistance (splint)
65,"Mistiltein - Appearing like a simple branch ripped fresh off a living tree, this quarterstaff allows the user to cast the spells like cloudkill based on their current level, three times per day. It allows a wielder to also 'take root' and regain 1hp per round per fallen enemy within 1 square of distance, with the distance increasing by a square per round. A certain desire to heal the earth with blood as fertilizer may be instilled...","Quill of Desire - A levitating quill that writes out whatever the last person who touched it wants, given that it has enough ink and parchment. Someone’s son had it commissioned after his novelist father lost feeling in both of his hands after a wall collapsed on him.",A musical instrument that magically plays simple tunes and songs.,Curtains that open and close when commanded to do so.,You suddenly feel more drunk than you've ever been. You're gonna have a BAD hangover in the morning!,Cast Animal Friendship 2/Day,"Night Vision Grease - 10 g per application. Dark vision for 30 minutes. Made from the crushed remains of glowing insects, this grease is applied as eye shadow or under the eyes.","Ghost Story - If you tell this story to somebody as they fall asleep, their ghostly skeleton leaves their body for the night, returning when they wake. The skeleton acts as the owner wishes and is completely immaterial.",Spell scroll (7thlevel),Ring of spell storing,Ring of three wishes
66,"The Black Finger of Akaron: This long, bony, decaying finger once belonged to the powerful necromancer Akaron. The wielder can use this finger to drain 1d6 HP from their opponent, if they fail a CON saving throw. If the spell works, the fingernail on the finger grows.",Railsplitter - A bearded axe that allows the user to once a day cut down any tree in one swing.,A small doll that mimics your movements.,"A 1 inch, solid silver cube that removes non-magical tattoos when rubbed on the tattooed skin.",You begin to grow insect mandibles on your face that last for 1d4 days.,Cast Animal Messenger 1/Day,Universal Music Box (UMB) - 25 g Spring-powered and plays copies of popular bards from a tiny wax cylinders or tiny tin cylinder. It is about the size of a kitten. UMB wax song cylinders. 5 cp a song. A tiny wooden cylinder covered in etched wax that holds a song. It cracks easy and distorts fast. Heat will destroy them. UMB tin song cylinder. 1 sp a song. A tiny brass cylinder covered in etched tin that holds a song. They are reliable and hold the song for years.,Companion Ball - A hollow ball that rolls behind you and never stops trying to follow you. Can pop open to store a head-sized object or smaller.,"Ammunition, +3",Ring of the ram,Armor of resistance (studded leather)
67,"The Book of Endings - A handsome hand-bound tome with gilded edges and supple leather covers, that supposedly details how every living creature will meet its end. Anyone who reads the book for more than six hours is struck by an overwhelming desire to take their own life. The effect subsides over time, but never truly disappears.","Resin of Stronmaus, Uncommon - Sweet, viscous tree sap collected from an unknown tree. Smells like pine, perhaps, with the sweetness of mead, and tastes like mead. While it is chewed like gum, this resin imbues the chewer with the Vicious Mockery cantrip, and grants +1 to Charisma.","A halter that when placed on a cow, donkey, mule, horse, or camel gives you advantage on animal handling checks for that beast.",A stuffed teddy bear that tells bedtime stories to the creature holding it.,"Wings sprout out of your back, allowing you to fly for 1d4 hours.",Cast Arcane Lock 1/Day,"Folding Pocket Knife - 5 g A gnomish folding knife of decent quality. It is rather simple to use but, may confuse an imbecile in its operation.","Green Soil - Small pot of soil. Any plant that is planted into it will grow a whole season's worth of growth in one minute, but otherwise grows normally.",Oil of sharpness,Ring of X-ray vision,Tome of clear thought
68,"Ridill, The Rapier of Madness - Wielding this weapon causes the DM to adjust descriptions and results of skill checks to gently nudge the wielder towards chaotic action.",Ring of Balance - An emerald ring that gives the wearer an abnormally strong sense of balance. Made for a diplomat by her husband so that when she went on long sea voyages she wouldn’t get sea sick. Grants +1 to Dexterity and Acrobatics skill.,A pack saddle that doubles the carrying capacity of the beast wearing it.,A hat that flies and settles on a random head within 30ft. when thrown.,Your eye color changes to a random color.,Cast Bane 1/Day,"Folder of Warforged ""Schematics"" - 10 s to 100 g To most, it is a magazine full of odd symbols and lines, but, to a warforged, it is very ""interesting"" and ""needs studying and possible 'self-calibration'"".",Pyrophone - A klaxon-like horn that repels fire away from it.,Potion of flying,Robe of eyes,Tome of leadership and influence
69,"Angmar's Sickening Painting - This small painting shows a beautiful cottage on a lake in front of a mountain lake. Every person in a radius of 60 ft. around the painting, gets its hit point maximum reduced by 2 (1d4) for every combined 6 hours within the radius. The creature will slowly get sicker until it eventually dies. 24h after the creature died, it will raise again as a Zombie.","Ring of the Colonel - Makes the wearer intensely aware of any and all chickens within a 1-mile radius. The ring can allow the wearer to summon 1d20 chickens to attack an enemy for 1d4+Cha bludgeoning damage once a day, but it must be recharged by licking all of one’s fingers.",A necklace of animal teeth. Once per long rest as a bonus action you can cause the necklace to bite you dealing 2 points of piercing damage.,A linen bag that washes and dries all the clothes put in it over the course of an hour.,You fall asleep for 1d4 days.,Cast Barkskin 1/Day,Insta-Torch - 5 g An iron tube full of a powder which burns brightly for around 3 hours and is ignited by a one time use flint. has pictograph on how to use it.,Stem-Stone - Pebble that transforms into whatever inorganic substance it last touched. Currently the leather of your pouch.,Potion of cloud giant strength,Rod of rulership,Tome of understanding
70,"The Medallion of Grim Rhymes: Every minute, using a slot spell, you can cast the silence spell without components. When you wear the medallion of grim rhymes you have to talk in rhymes or you will take 1 necrotic damage per sentence. If you take off the medallion, every silence spell you casted is undone.",Ring of the Giantslayer - A plain copper ring that grants the wearer +2 to AC and +2 to attack rolls against any enemy in the “Large” or bigger size categories.,"A pair of small silver bars twisted together. Once per day when you use Bardic Inspiration you may designate two individuals. Either character can use the Bardic Inspiration die, but once it has been used it’s gone.",A scarf that changes the voice of the creature wearing it.,You can smell gold from 50ft. away for 1d4 days.,Cast Bless 1/Day,"Emergency Shiny Blanket - 30 s A blanket. It is a single use thin blanket made of metal that folds and moves like uncomfortable blanket. It insulates well but, will be spotted from orbit if light shines on it.","Maggot Prince - A tiny maggot with a gold band marking. Flies and maggots will vacate the area to make room for it, and anything that eats bugs will be strongly drawn to try and eat it.",Potion of longevity,"Rod of the pact keeper, +2",Defender
71,"The Blade of the Soul Ripper - A massive odachi that was specifically made for fighting the powerful beings (i.e. enemies with legendary resistances and actions). When used on foes beneath it's purposes it reflects the damage back onto the wielder. If this blade is used for the final blow against a powerful enough energy, the blade rips the soul of the victim from it's body immediately and hurls it to a specific layer of the hell where the Oni devil that forged the blade uses the souls to power his forge.","Ring of the Grammarian - Once a week, the wearer of this ring can alter one letter of one item in an enemy’s equipment to alter its appearance and function. This effect is determined by the DM, but with the ring-bearer’s intentions taken into account.",A set of sheep’s knucklebones that allow you to cast the ritual Augury in 1 minute (only if you can normally cast it as a ritual).,A mug the chills any type of ale that is poured into it to a perfect temperature.,You become transparent like a ghost for 1d6 hours.,Cast Blindness/Deafness 1/Day,Cloth Mask - 1 s Though uncomfortable provides advantage against disease when worn over mouth and nose.,"Ovality Bomb - Explodes in a cloud of beige dust, forming a 2m high egg around the blast area. Nothing inside can break out, but the outside is easily broken. The egg keeps its contents alive in a happy stasis until released.",Potion of vitality,Rope of entanglement,Hammer of thunderbolts
72,"The Ring of Kazjezzren: A simple gold ring with tiny engravings of imps along the outside. You can use this ring to cast 'hold person' once per day, but the 'hold person' spell is actually 1d6 invisible imps holding the target in place.","Ring of Kinetic Storage - This simple silver ring allows the wearer to store energy from their body's motions throughout the day, and release it in strong bursts. This ring contains up to 5 charges, the number of charges stored in the ring increases by 1 for every 2 days the ring is worn. As an action, you can make an unarmed strike with the hand the ring is on. This unarmed strike deals an additional 1d6 bludgeoning damage per charge in the ring. Any unarmed strike with the ring expends all charges stored within the ring. If all five charges of the ring are expended, the target is pushed back 5 feet away from you.",A small charm made of tiny bones and feathers that lets you cast the ritual Speak With Animals in 1 minute (only if you can normally cast it as a ritual).,A small stone owl that turns its head towards a creature when they cast a spell.,Your mouth vanishes for 1d4 hours. You are unable to speak.,Cast Burning Hands 2/Day,Shielded Crossbow - 40 g Light crossbow with a metal plate on both sides gives player +1 to AC when used and deals d8 damage.,"Worldly Tortoise - A small tortoise (STR 2, DEX 1, WIL 6, 1hp, Armour 1) that knows the way to anywhere you ask, but gets there very slowly.",Spell scroll (8thlevel),"Armor, +1 scale mail",Luck Blade
73,"Shidet Shoo - A pair of dice made in Hell for fiends to use in rituals to see the future. The higher you roll, the more important the piece of the future it reveals, but it unleashes a single monster from the lower planes to plague you equal power to the dice rolled.","Ring of Naming - A simple iron ring with 3 charges. Once a day, the wearer can use it to change one letter in an enemy’s name to change their form and function. It can only be recharged by the wearer changing one letter in their own race or class.",A gem that adheres to your forehead like a third eye. If you spend a Ki point (Monk) your speed increases by 10 feet for that round.,A pirate's flage that can magically display the colors of a far away nation.,You can suddenly hear the thoughts of those around you in your head! You gain the effect of the Detect Thoughts spell.,Cast Commune with Nature 1/Day (can only cast as a ritual),"Flask o’ Fire - 5 g It’s actually a metal lighter, spend bonus action to make a flame and a action to try to light something on fire.","Fantastic Machine - Huge machine stored in an old factory. Has a slot where paper instructions can be inserted, with a coin slot for a 10s payment. After an hour of clinking it produces a rough approximation of the requested item, but anything fancy is poorly made.",Horseshoes of a zephyr,Armor of resistance (scale mail),Sword of answering
74,"Angel's Lament- an intricate, thorny contraption of brass and ebony shaped like a sphere about a foot wide, in which strips of luminous, pulsing cerebral matter are suspended by hooks. Fiends greatly treasure this device and will value it of equivalent or greater worth than a mortal soul. By spending 30 minutes concentrating on the device (as if concentrating on a spell), it unhallows an area around it, functioning as the hallow spell with 120ft radius but only functioning against celestials. Celestials already within the area make a DC 15 Wisdom save each round until they fail, becoming overwhelmed by despair on a failure and unable to attack or use reactions in response to attacks while within the area.","Ring of Quiptical Hits - Two interlocking bands, one gold engraved with a motifs of laughing faces and the other granite with a motif of faces set in stony silence, the ring rewards the witty but punishes japes that fall flat. Once per day, on a successful attack roll, if the wearer can deliver a one-liner, quip or appropriate pun before rolling damage, the attack is converted into a critical hit. However, if the jape is deemed to have fallen flat the wearer is overcome by lethargy and behaves as if affected by the spell slow, until the end of it's next turn.","A glowing crystal that focuses your divine senses. When you use your Divine Sense (Paladin) to detect celestial, fiend or undead, the range extends to 90 feet.",A dark red book that keeps a tally count of all the creatures it's owner has killed.,You turn invisible for 1d4 hours.,Cast Calm Emotions 1/Day,"Poor Mans Fireball - 1 g Literally just a Molotov cocktail. target must make dex save (10 + throwers STR + proficiency), on fail 1d8 then 1d6 fire for 1d4 rounds, on fail just half 1d8. light thrown range 60 feet with 5 foot splash. Takes an action to extinguish. (Proficiency can be either improvised or thrown weapons).","Unstoppable Rod - When thrown, nothing stops the movement of this rod, including gravity. Eventually flies off into space regardless of its trajectory.",Nolzur's marvelous pigments,"Shield, +2",Holy avenger
75,"The Bleak Blade of Veleris: This small black dagger feels unnaturally heavy for how small it is. When the blade is used to commit a dark act, it gains a number of charges equal to the people who swear to have revenge on you. At 10 charges, it is a +1 weapon. At 100, it is a +2. At 500, it is +3. At 1000, it is +4. This weapon also gains a additional +1 when attacking a person who has sworn to have revenge on you.",Ring of Recall - A small ring that allows the spellcaster wearing it to regain a spell slot after having failed in casting a spell.,A mummified body part of a creature. If this creature’s type is your favored enemy selection (Ranger) than once per day you can reroll a 1 on a Survival or Intelligence check related to the creature type.,"A small wooden box engraved with butterflies. Once per day, when it is opened, a butterfly flies out of it.",You take on the form of a water elemental for 1d4 hours.,Cast Cause Fear 1/Day,Staff of Perspective Gigantism & Dwarfism - 17 g A wooden staff with brass etching that has a magnifying glass on the top. Besides a majestic way of killing ants and recreating an Indiana Jones scene this will give advantage on perception checks regarding reading small print. Surprisingly the magnifying lens can not be taken off without breaking.,"Slam Bomb - Causes all doors and windows in a large-room sized blast to slam open or shut, even if secured.",Bag of devouring,Shield of missile attraction,Ring of djinni summoning
76,"Runes of Demonic Possession - These runes were carved from the bones of living devils and demons. Each rune reacts to the command words awaken and sleep. As an action, place a rune on a non magical, non living object of size large or smaller and speak the awaken command word to animate that object as a construct (the DM has the stat blocks) with the soul of a devil or a demon. It has a chaotic nature and won't always obey your commands. (except the command word sleep). While awake, the rune is fused with the object. As a bonus action on each turn, you can command one or more awakened objects within 60ft of you to do something that they are capable of. On a successful wisdom saving throw, the objects obey. Else they act as the DM wishes. If your bonus action command is sleep, no saving throw is necessary and the object will turn back into a mere object and the rune.","Scarf of Breathing - A red scarf sewn with silver beads into the fabric, magically filters air that is sucked through it when worn as a face wrap. Made as a gift for an obsidian miner to avoid complications with volcano fumes.","An elemental spellcaster's gem (1d4: cold, fire, thunder, electricity) that can act as a focus for a metamagic spell once per day. The gem changes half of your spells damage type to match the gem.",An enchanted brick which is under the effect of the feather fall spell only when nothing is touching it.,You transform into a random race.,Cast Create Food and Water 1/Day,"Hydraulic Jack - 28 g Harnessing the power of tinkering has given way to this metal contraption which can lift up about 8,000 LBS. uses can vary from lifting a wagon with ease to holding a gate open for narrow escapes.","Air-Sac - A membranous sac on your chest that you can inflate to 2m in diameter. Your lungs can draw on the air within, but remember the inflated sac floats.",Portable hole,Staff of charming,Ring of invisibility
77,"Healer’s False staff - A handsome wooden staff with the top carved into whatever the local medical symbol is. It changes, but that’s not the most insidious part. The staff grants a bonus to all heal checks, let’s the user cast cure major wounds, and grants an encyclopedic knowledge of disease and injury. Over time, however, the staff warps the users mind into a state of extreme hypochondria, and the user eventually dies of fright. In addition, they begin diagnosing everyone with conditions based on the flimsiest of evidence and prescribing the most painful treatments possible, which, thanks to their previous established reputation as a healer through the staff’s power, are almost always believed.","Scrolls of Speaking - A pair of small blank scrolls with matching handles. Whatever you write/draw on one scroll (in ink) appears on the other within 3 minutes. 24 hours after ink touches the blank page, everything written on it melts away permanently. Made by two young Divination apprentices who wanted to keep in touch with each other.","A token of a fey (electricity), far realm (psychic), or fiendish (fire) power. Once per day, you can use the token to change the damage type of eldritch blast, to that the token.",A bit and bridle that temporarily changes the color of the horse to the purest white.,Your body feels incredibly tired. You gain 2 levels of exhaustion.,Cast Detect Good and Evil 1/Day,"Lightning Bola - 10 g When wrapped around victim, metal balls release an electric shock, dealing 2d4 lightning damage.","Gore Candle - Any injuries that happen in the presence of this candle's light are extra painful, messy, and harmful, doubling any STR loss caused.",Potion of superior healing,Staff of healing,Ring of spell turning
78,"Cali’s Banner - Anyone who picks up this banner is rooted to the spot and cannot put it down, but their friends can pyry it out of their hands. The longer the banner is held the worse the effects get. At one hour distant trumpets. At two hours shadowy figures are seen. At three hours the holder is assaulted by the Wild hunt. They are usually slaughtered, and the banner falls to the ground waiting for the next sucker to pick it up.","Scrying Bones - Once per day, these knucklebones can be used to ask a yes, no, or maybe question to the fates (DM). There are three bones carved into happy faces and sad faces. All happy faces mean yes, all sad means no, anything in-between means maybe.",A ritual book that lets you cast arcane rituals half the normal time.,A small brass bell that rings every morning at 7. The sound is loud enough to wake anyone within 30 feet.,Your size grows by 1d4 feet for 1d4 hours.,Cast Detect Magic 1/Day,Fancy Mark - 1 g A woven silk ribbon embroidered with the symbol of a single school of magic. Becomes permanently adhered to the spine of a wizard’s spell book (must be a book) and it is used to mark a spell of the school of magic that is embroidered into the mark When spells are prepared. The marked spell may be prepared on a short rest by exchanging it with a spell previously prepared but not cast since. (Great for helping that new wizard in the party).,Skeletal Dove - Carefully assembled. Can be crushed to unleash a cloud of confused doves.,Spell scroll (4thlevel),Staff of swarming insects,Rod of lordly might
